Filename	Prep_Mandarin	Prep_original	Mandarin	Original	Engilsh_Parse	Original_Parse
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	that you tell I he at which	那 你 告诉 我 他们 在 哪儿 啊	tell at which	告诉 在 哪儿
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	at kindergarten	在 幼儿园 啊	at kindergarten	在 幼儿园 啊
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	not should be_like this two little_child eat food at above be_healthy_vivacious	不 要 像 这 两 个 小朋友 吃 饭 在 上面 活蹦乱跳	above be_healthy_vivacious	在 上面 活蹦乱跳
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	着	today idiotic father should wipe floorboard far_more posh floorboard lacquer idiotic mother at doorway look	今天 啊呆 爸爸 要 擦 地板多 漂亮 的 地板 漆 啊呆 妈妈 在 门口 看 着		着
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	给	idiotic father say you object_marker floorboard for tread dirty baby you object_marker small dog for hug leave	呆 爸爸 说 你 把 地板 给 踩 脏 了宝宝 你 把 小 狗 给 抱 出去	for tread	给 踩
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	抱	idiotic father say you object_marker floorboard for tread dirty baby you object_marker small dog for hug leave	呆 爸爸 说 你 把 地板 给 踩 脏 了宝宝 你 把 小 狗 给 抱 出去	hug leave	抱 出去
./CHILDES_Mandarin/Zhou3/000506.cha	wang3=go_toward	地	okay you three individual_person all lean_against behind to_stand who also not allow go_toward earth above tread idiotic father object_marker earth above dirty place again start_anew lacquer again	嗯 你们 三 个人 啊 都 靠 后 站谁 也 不 许 往 地 上 踩 了呆 爸爸 把 地 上 脏 的 地方 又 重新 漆 了 一遍	earth idiotic	地 了呆
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	you look he three individual_person at what place	你 看 他们 三 个人 在 什么 地方 啊	look he three individual_person at place	看 他们 三 个人 在 地方
./CHILDES_Mandarin/Zhou3/000506.cha	cong2=from	从	you look mother pull right all is from most inside pull leave	你 看 妈妈 拖地 是不是 都 是 从 最 里面 拖 出去	from leave	从 出去
./CHILDES_Mandarin/Zhou3/000506.cha	cong2=from	从	still can pull from outside pull arrive inside come	还 能 拖地 从 外面 拖 到 里面 来 啊	pull from outside pull	拖地 从 外面 拖
./CHILDES_Mandarin/Zhou3/000506.cha	wang3=go_toward	往	that person go_toward which go_away	那 人 往 哪儿 走 呢	person go_toward which go_away	人 往 哪儿 走 呢
./CHILDES_Mandarin/Zhou3/000506.cha	cong2=from	从	it should from most inside go_toward outside surface lacquer	它 应该 从 最 里面 往 外 面 漆	should from inside go_toward	应该 从 里面 往
./CHILDES_Mandarin/Zhou3/000506.cha	wang3=go_toward	往	it should from most inside go_toward outside surface lacquer	它 应该 从 最 里面 往 外 面 漆	from go_toward lacquer	从 往 漆
./CHILDES_Mandarin/Zhou3/000506.cha	kao4=depend_on	柴	formerly have exhaust child call small bad_thing he father extremely drop only have he and mother depend_on hit firewood last yom have one	从前 啊 有 个 穷 孩子 叫 小 畜生他 的 爸爸 死 掉 了只 有 他 和 妈妈 靠 打 柴 过 日子有 一 天 啊	yom have	柴 过
./CHILDES_Mandarin/Zhou3/000506.cha	dui4=toward	对	mother toward he say if now have food eat far_more good	妈妈 对 他 说 要是 现在 有 饭 吃 多 好 啊	toward he say	对 他 说
./CHILDES_Mandarin/Zhou3/000506.cha	cong2=from	从	precisely say from pumpkin inside risk go_out one container savory hot food hot food	正 说 着 从 南瓜 里 冒 出 一 碗 香喷喷 的 热 饭 热 菜	pumpkin go_out	从 冒
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	家	one call scoundrel know this thing one ride bad_thing not at family from mother hand inside pillage go_away great pumpkin bad_thing not_have pumpkin can_only again go_up mountain ax firewood go	一 个 叫 癞子头 的 坏蛋 知道 了 这 件 事一 天 啊 乘 畜生 不 在 家 从 妈妈 手 里 抢 走 了 大 南瓜畜生 没有 了 南瓜 只好 又 上 山 砍 柴 去 了	pillage go_away great can_only	在 家 从 走
./CHILDES_Mandarin/Zhou3/000506.cha	cong2=from	妈妈	one call scoundrel know this thing one ride bad_thing not at family from mother hand inside pillage go_away great pumpkin bad_thing not_have pumpkin can_only again go_up mountain ax firewood go	一 个 叫 癞子头 的 坏蛋 知道 了 这 件 事一 天 啊 乘 畜生 不 在 家 从 妈妈 手 里 抢 走 了 大 南瓜畜生 没有 了 南瓜 只好 又 上 山 砍 柴 去 了	pumpkin can_only	妈妈 走
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	at mountain above he see two radish	在 山 上 啊 他 看见 两 个 萝卜	at mountain above he two	在 山 上 啊 看见
./CHILDES_Mandarin/Zhou3/000506.cha	xiang4=be_like	像	be_like skin in_vain	像 雪儿 的 皮肤 白白 的	be_like skin in_vain	像 雪儿 的 皮肤
./CHILDES_Mandarin/Zhou3/000506.cha	shi4=depend	视	ugh have electricity depend sound moreover you sound	哎 有 电 视 的 声音 还有 你 的 声音 啊	have depend moreover	有 视 声音
./CHILDES_Mandarin/Zhou3/000506.cha	gen1=with	跟	you self with I say want do what	你 自己 跟 我 说 想 干 什么	with say want do	跟 说 想 干
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	给	I say back Tang_poetry for you look	我 说 背 了 唐诗 给 你 看 的 啊	you look	给 你 看
./CHILDES_Mandarin/Zhou3/000506.cha	cong2=from	从	afterwards count should from this_side go_toward that_side count know	以后 数数 要 从 这边 往 那边 数 知道 吗	from this_side know	从 这边 知道
./CHILDES_Mandarin/Zhou3/000506.cha	wang3=go_toward	往	afterwards count should from this_side go_toward that_side count know	以后 数数 要 从 这边 往 那边 数 知道 吗	go_toward that_side count know	往 那边 数 知道
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	扎	one rabbit mother allow small white and small grey go search rabbit grandmother two only small rabbit happy go go_away currently road above small white clothes drop button small white cry small grey just use self handkerchief at small white clothes above prick one flower	一 天 啊兔 妈妈 让 小 白 和 小 灰 去 找 兔 婆婆两 只 小 兔 高兴 去 了走 在 路 上 啊小 白 衣服 掉 了 个 纽扣小 白 哭 了小 灰 啊 就 用 自己 的 手绢 在 小 白 的 衣服 上 扎 了 一 朵 花		扎
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	for small bear go give_an_injection	给 小 熊 去 打针 吧	for bear give_an_injection	给 熊 打针
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	otherwise should go with small bear go give_an_injection	要不 要 去 跟 小 熊 去 打针 啊	should with bear go give_an_injection	要 跟 熊 去 打针
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	I look otherwise should go with small bear go give_an_injection	我 看 要不 要 去 跟 小 熊 去 打针	with bear give_an_injection	跟 熊 打针
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	small bear have not_have fall_sick quickly go for small bear look	小 熊 有 没有 病 快 去 给 小 熊 看看	for bear look	给 熊 看看
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	for mother speak	给 妈妈 讲	for mother speak	给 妈妈 讲
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	hit phone for familiar_mothers_sister	打 电话 给 阿姨	hit for familiar_mothers_sister	打 给 阿姨
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	again sing one television for familiar_mothers_sister look	再 唱 一 个 电视 给 阿姨 看看	familiar_mothers_sister look	给 阿姨 看看
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	should five hair for who	要 五 毛 给 谁	hair for who	毛 给 谁
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	otherwise should mother with you together put_up airplane	要不 要 妈妈 跟 你 一起 搭 个 飞机 啊	with put_up	跟 搭
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	snow at which side	雪儿 在 哪 边	at which side	在 哪 边
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	sit at vehicle inside arrive which simultaneously go	坐 在 车 里 到 哪 边 去 呢	sit at inside	坐 在 里
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	for familiar_mothers_sister hit phone	给 阿姨 打 个 电话	for familiar_mothers_sister hit	给 阿姨 打
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	again hit phone for father	再 打 个 电话 给 爸爸	hit father	打 给 爸爸
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	with mother together gather	跟 妈妈 一起 收 吧	with mother gather	跟 妈妈 收
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	you at here mother go hold pen not_at_all good	你 在 这儿 妈妈 去 拿 笔 好不 好	at here mother go hold	在 这儿 妈妈 去 拿
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	still should for small dog note nose	还 要 给 小 狗 帖 鼻子 啦	should for nose	要 给 鼻子 啦
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	small dog at where	小 狗 在 哪里 啊	dog at where	狗 在 哪里 啊
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	you say small dog at where	你 说 小 狗 在 哪里 啊	say at where	说 在 哪里
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	with it speak sorry go	跟 它 讲 对不起 去	with it speak	跟 它 讲
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	just_now all object_marker I drop at earth activity	刚才 雪儿 都 把 我 摔 在 地 下	at earth activity	摔 在 地
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	chant you with it say sorry	哦 你 跟 它 说 对不起	with it say	跟 它 说
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	good earth hold for father go	好好 地 拿 给 爸爸 去 啊	hold for father	拿 给 爸爸
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	with fathers_mother speak go right	跟 奶奶 讲 去 是不是 啊	with fathers_mother speak	跟 奶奶 讲
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	that you come I speak for you listen	那 你 来 我 讲 给 你 听 啊	speak for listen	讲 给 听
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	not with I play	不 跟 我 玩 啦	with I play	跟 我 玩
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	small chicken mouth at which	小 鸡 的 嘴巴 在 哪	chicken which	鸡 在 哪
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	at this_side	在 这边	at this_side	在 这边
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	small chicken mouth at this_side	小 鸡 的 嘴巴 在 这边	at this_side	嘴巴 在 这边
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	small chicken mouth at this_side	小 鸡 的 嘴巴 在 这边 啊	chicken this_side	鸡 在 这边 啊
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	at this_side	在 这边	at this_side	在 这边
./CHILDES_Mandarin/Zhou3/980830.cha	zhao4=according_to	照	according_to this painting_and_calligraphy	照 这个 书画	according_to painting_and_calligraphy	照 书画
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	at this_side draw	在 这边 画 着 的	at this_side draw	在 这边 画
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	that again write two for I look	那 雪儿 再 写 个 二 给 我们 看看	look	给 我们 看看
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	I search same vehicle for familiar_mothers_sister believe_something_someone_will_be_worthy_in_the_future not good	我们 找 一样 的 车子 给 阿姨 看好 不 好	search familiar_mothers_sister believe_something_someone_will_be_worthy_in_the_future	找 给 阿姨
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	come you look with this same motor_vehicle at which side	来 你 看 跟 这 一样 的 汽车 在 哪 边	look with same	看 跟 一样
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	come you look with this same motor_vehicle at which side	来 你 看 跟 这 一样 的 汽车 在 哪 边	look which	看 在 边
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	this same motor_vehicle at which side	这个 一样 的 汽车 在 哪 边	at which	汽车 在 边
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	with this same blue color	跟 这个 一样 的 蓝 颜色 的	with same	跟 一样 颜色 的
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	with this same pear	跟 这个 一样 的 梨子 呢	with same	跟 一样 梨子 呢
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	again not with I play	又 不 跟 我 玩 了	with I play	跟 我 玩
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	again forward for father	再 递 个 给 爸爸	forward father	递 给 爸爸
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	again give for mother	再 给 个 给 妈妈	give mother	给 给 妈妈
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	again give for mother	再 给 个 给 妈妈	give mother	给 给 妈妈
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	ugh moreover one for mother	哎 还有 一 个 给 妈妈 啊	for mother	个 给 妈妈 啊
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	for I one	给 我 一 个 啊	for	给 个 啊
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	for grandfather	给 爷爷 呢	for grandfather	给 爷爷 呢
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	again for you one	再 给 你 一 个	again for you	再 给 你 个
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	not for father	不 给 爸爸 啦	not for father	不 给 爸爸 啦
./CHILDES_Mandarin/Zhou3/980830.cha	gen1=with	跟	ugh quickly go with father look book go	哎 快 去 跟 爸爸 看 书 去	ugh quickly with father book	哎 快 跟 爸爸 书
./CHILDES_Mandarin/Zhou3/980830.cha	zai4=at	在	come sit at here	来 坐 在 这儿	sit at here	坐 在 这儿
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	you speak for I listen little_child come exercise how speak	你 讲 给 我 听 小朋友 来 做操 怎么 讲 的	speak for I	讲 给 我
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	you speak for I listen	你 讲 给 我 听	for I listen	给 我 听
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	hold good speak for I listen	拿 好 讲 给 我 听	for I listen	给 我 听
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	very that just for you eat	好 那 就 给 你 吃 吧	for you eat	给 你 吃
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	very that just for you eat	好 那 就 给 你 吃 吧	for you eat	给 你 吃
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	I come for you speak small bear birthday not_at_all good	我 来 给 你 讲 小 熊 过 生日 好不 好	for you speak	给 你 讲
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	that you speak for fathers_mother listen	那 你 讲 给 奶奶 听	for fathers_mother listen	给 奶奶 听
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	that you speak for fathers_mother listen	那 你 讲 给 奶奶 听	for fathers_mother listen	给 奶奶 听
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	you speak for fathers_mother listen again eat	你 讲 给 奶奶 听 再 吃	for fathers_mother listen	给 奶奶 听
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	very go sell report for mother	好 去 卖 报 给 妈妈	sell for mother	卖 给 妈妈
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	I come for you bare come_forward	我 来 给 你 拔 出来	for bare come_forward	给 拔 出来
./CHILDES_Mandarin/Zhou3/980830.cha	xiang4=to	向	to behind turn	向 后 转	to behind turn	向 后 转
./CHILDES_Mandarin/Zhou3/980830.cha	xiang4=to	向	to behind turn	向 后 转	to behind turn	向 后 转
./CHILDES_Mandarin/Zhou3/980830.cha	xiang4=to	向	to behind turn	向 后 转	to behind turn	向 后 转
./CHILDES_Mandarin/Zhou3/980830.cha	gei3=for	给	throw for I look	扔 给 我 看	for I look	给 我 看
./CHILDES_Mandarin/Zhou3/010218.cha	bei4=by	被	willing_to virtue chicken by you make drop	肯 德 鸡 被 你 弄 掉 啦	by you make	被 你 弄
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	sit at here	坐 在 这儿	sit at here	坐 在 这儿
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	violin is put at shoulder above	小提琴 是 放 在 肩膀 上 的	put at above	放 在 上
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	he two at lull this kid right	他们 俩 在 哄 这个 小孩 是不是 啊	at lull	在 哄
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	get_stuck at shoulder above	卡 在 肩膀 上	get_stuck at shoulder above	卡 在 肩膀 上
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	just at that_side	就 在 那边 吧	just at that_side	就 在 那边 吧
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	just at that_side	就 在 那边 吧	just at that_side	就 在 那边 吧
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	chant this put at front surface right	哦 这个 放 在 前 面的 是不是 啊	at surface	在 面的
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	eaves at which	屋檐 在 哪	eaves at which	屋檐 在 哪
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	this above for you put individual_person person	这 上面 给 你 放 个人 人	for you put	给 你 放
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	not at family	何以洁 不 在 家 啊	not at family	何以洁 不 在 家 啊
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	you just at here wait she return	你 就 在 这儿 等 她 回来 吧	at here wait	在 这儿 等
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	I for_a_while just for you fall tea	我们 何以洁 一会儿 就 给 你 倒 茶 啊	for_a_while just for you fall	何以洁 一会儿 就 给 你 茶 啊
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	idiotic meeting you for she actually dot tea	呆 会 你 给 她们 倒 点 茶 吧	for dot	给 点
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	at this_side play	在 这边 玩	at this_side play	在 这边 玩
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	chant family for flip drop	哦 雪儿 的 家 给 翻 掉 了	drop	给 翻
./CHILDES_Mandarin/Zhou3/010218.cha	dao4=up_until	到	long needle point_out up_until several	长 针 指 到 几 啊	point_out up_until several	指 到 几
./CHILDES_Mandarin/Zhou3/010218.cha	dao4=up_until	到	long needle point_out up_until six just begin still know	长 针 指 到 六 才 开始 还 知道 啦	up_until know	到 知道
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	very for you	好 给 你	very for you	好 给 你
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	at here	在 这儿	at here	在 这儿
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	this should follow red put at together	这个 要 跟 红 的 放 在 一起 啊	follow together	跟 在 一起 啊
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	at courtyard inside oven_broil	在 院子 里面 烧	at oven_broil	在 烧
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	should speak story for I listen	要 讲 个 故事 给 我们 听 吧	I listen	给 我们 听
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	old not at family eat food	老 不 在 家 吃 饭	at family food	在 家 饭
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	child at that_side make	孩子 在 那边 弄 啊	at that_side make	在 那边 弄
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	you not should forget for she bring gift	你 不 要 忘 了 给 她 带 礼物 啊	she bring gift	给 她 带
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	you pretend how for little_child draw_lash cigarette	你 假装 怎么 给 小朋友 抽 香烟 啊	pretend for little_child	假装 给 小朋友
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	that I at family for she two make chair you look_upon_as how	那 我 在 家 给 她们 俩 个 做 的 椅子 你 看做 得 怎么样	at chair	在 做
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	that I at family for she two make chair you look_upon_as how	那 我 在 家 给 她们 俩 个 做 的 椅子 你 看做 得 怎么样	for chair	给 做
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	I for she two make	我 给 她们 两 个 做 的	for	给 做
./CHILDES_Mandarin/Zhou3/010218.cha	zai4=at	在	I fault at here work	我 不是 在 这里 搞 的 吗	at here work	在 这里 搞
./CHILDES_Mandarin/Zhou3/010218.cha	gen1=with	跟	just_now have how_many plant color you again not with he say	刚才 有 几 种 颜色 你 又 不 跟 他 说	with he say	跟 他 说
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	good twist for I look	好 扭 给 我 看看 呢	twist for look	扭 给 看看
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	mother twist for you look	妈妈 扭 给 你 看 啊	for you look	给 你 看
./CHILDES_Mandarin/Zhou3/010218.cha	gei3=for	给	you still can be_like this appearance make posture for I look	你 还 能 像 这个 样子 做 个 姿势 给 我 看看 呢	I look	给 我 看看
./CHILDES_Mandarin/Zhou3/010218.cha	wang3=go_toward	往	go_toward this_side to_stand to_stand	往 这边 站 站	go_toward this_side to_stand to_stand	往 这边 站 站
./CHILDES_Mandarin/Zhou3/990207.cha	gen1=with	跟	you with teacher speak	你 跟 老师 讲	with teacher speak	跟 老师 讲
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	for familiar_mothers_sister shine	给 阿姨 照	for familiar_mothers_sister shine	给 阿姨 照
./CHILDES_Mandarin/Zhou3/990207.cha	dao4=up_until	到	you hold shoe up_until what place go	你 拿 着 鞋子 到 什么 地方 去 啊	hold what go	拿 到 地方
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	speak idiotic father for familiar_mothers_sister listen not_at_all good	讲 个 呆 爸爸 给 阿姨 听 好不 好	familiar_mothers_sister listen not_at_all	给 阿姨 听
./CHILDES_Mandarin/Zhou3/990207.cha	zai4=at	在	rabbit at which side	兔子 在 哪 边 啊	rabbit at side	兔子 在 边 啊
./CHILDES_Mandarin/Zhou3/990207.cha	zai4=at	在	at door inside right	在 门 里面 是不是 啊	at door inside right	在 门 里面 是不是 啊
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	come_on mother for you speak story	来 妈妈 给 你 讲 故事	for you speak	给 你 讲
./CHILDES_Mandarin/Zhou3/990207.cha	xiang4=be_like	像	just be_like I family this is do what use	就 像 我们 家的 这 是 干 什么 用 的 啊	be_like family use	像 家的 用
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	very you sing birthday song for I listen listen	好 你 唱 个 生日 歌 给 我 听 听	I listen	给 听 听
./CHILDES_Mandarin/Zhou3/990207.cha	zai4=at	在	I at which simultaneously eat small posicle	我们 在 哪 边 吃 小 冰棒 的	at which eat	在 哪 吃
./CHILDES_Mandarin/Zhou3/990207.cha	zai4=at	在	birthday I at which simultaneously eat	雪儿 过 生日 我们 在 哪 边 吃 的 啊	simultaneously eat	在 哪 吃
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	this red room for who inhabit	这个 红 房子 给 谁 住 啊	room for who inhabit	房子 给 谁 住 啊
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	this room for who inhabit	这个 房子 给 谁 住	room for who inhabit	房子 给 谁 住
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	this is red for small bear inhabit	这个 是 红 的 给 小 熊 住 的	small inhabit	给 熊 住 的
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	for who inhabit	给 谁 住 啦	for who inhabit	给 谁 住 啦
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	green color is for small monkey inhabit	绿 颜色 的 是 给 小 猴 住 的	small inhabit	给 猴
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	red color is for small dog bear inhabit	红 颜色 的 是 给 小 狗 熊 住 的	small bear inhabit	给 狗 熊
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	who come deliver flower for it	谁 来 送 花 给 它们 啊	who for	谁 给
./CHILDES_Mandarin/Zhou3/990207.cha	gei3=for	给	you jump ballet for familiar_mothers_sister look	你 跳 个 芭蕾舞 给 阿姨 看	familiar_mothers_sister look	给 阿姨 看
./CHILDES_Mandarin/Zhou3/990207.cha	kao4=depend_on	靠	you hand depend_on sofa	你 手 靠 着 沙发	hand depend_on	手 靠 沙发
./CHILDES_Mandarin/Zhou3/990207.cha	kao4=depend_on	靠	you hand depend_on sofa	你 手 靠 着 沙发	hand depend_on	手 靠 沙发
./CHILDES_Mandarin/Zhou3/990207.cha	dang1=when	当	I come when student	我 来 当 学生	I when student	我 当 学生
./CHILDES_Mandarin/Zhou3/990207.cha	zai4=at	在	you to_stand at that_side	你 站 在 那边	to_stand at that_side	站 在 那边
